itemid,item,item_en,vocabulary_id,vocabulary_concept_code,vocabulary_concept_name,abbreviation,categoryid,category,category_en,ordercategoryid,ordercategory,islabresult,valueid,value,unitid,unit,ucum_code,low_normal_value,high_normal_value,expected_min_value,expected_max_value,table,count,count_validated
9344,Pacemaker Ventr.drempelen (Output),Pacemaker Ventr.drempelen (Output),NaN,NaN,NaN,Pacemaker Ventr.drempelen (Output),430,OPDR. Circulatie,NaN,81,Opdr. Circulatie,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,846,NA
9345,Pulsaties controleren,Pulsaties controleren,NaN,NaN,NaN,Pulsaties controleren,430,OPDR. Circulatie,NaN,81,Opdr. Circulatie,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,3435,NA
9346,Sinusspoeling,Sinus rinse,NaN,NaN,NaN,Sinusspoeling,418,OPDR. Overig,NaN,89,Opdr. Overig,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,16,NA
9348,Niet meer gebruiken Plaats Tube,No longer use Place Tube,NaN,NaN,NaN,Niet meer gebruiken Plaats Tube,439,PROC. Respiratie,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,1956,NA
9349,Niet meer gebruiken Diepte Tube,No longer use Depth Tube,NaN,NaN,NaN,Niet meer gebruiken Diepte Tube,439,PROC. Respiratie,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,2059,NA
9350,Niet meer gebruiken Maat Tube,No More Use Size Tube,NaN,NaN,NaN,Niet meer gebruiken Maat Tube,439,PROC. Respiratie,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,2031,NA
9352,Infuussysteem TPV verschonen,Infusion system TPV changing,NaN,NaN,NaN,Infuussysteem TPV verschonen,446,OPDR. Lijnen/Catheter/Drains,NaN,90,Opdr. Lijnen/Catheter/Drains,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,696,NA
9353,Maagsonde verwisselen,Changing the stomach probe,NaN,NaN,NaN,Maagsonde verwisselen,318,Deleted - Niet gebruiken,NaN,90,Opdr. Lijnen/Catheter/Drains,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,1,NA
9354,CAD (Silicone) vervangen,CAD (Silicone) Replacement,NaN,NaN,NaN,CAD (Silicone) vervangen,446,OPDR. Lijnen/Catheter/Drains,NaN,90,Opdr. Lijnen/Catheter/Drains,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,33,NA
9356,EVD-cm boven Monroe,EVD-cm above Monroe,NaN,NaN,NaN,EVD-cm boven Monroe,428,NEURO-Algemeen,NaN,NA,NaN,0,NA,NaN,50,cm,cm,NaN,NaN,NA,NA,numericitems,53993,53993
9357,ELD-cm boven Monroe,ELD-cm above Monroe,NaN,NaN,NaN,ELD-cm boven Monroe,428,NEURO-Algemeen,NaN,NA,NaN,0,NA,NaN,50,cm,cm,NaN,NaN,NA,NA,numericitems,2865,2865
9358,EVD-Open/Dicht,EVD open/seal,NaN,NaN,NaN,EVD-Open/Dicht,428,NEURO-Algemeen,NaN,NA,NaN,0,1,Open,NA,NaN,NaN,NaN,NaN,NA,NA,listitems,52220,52220
9359,ELD-Open/Dicht,ELD open/seal,NaN,NaN,NaN,ELD-Open/Dicht,428,NEURO-Algemeen,NaN,NA,NaN,0,1,Open,NA,NaN,NaN,NaN,NaN,NA,NA,listitems,3039,3039
9360,Lumbaaldrain Uit,Lumbar Drain Out,NaN,NaN,NaN,Lumb.drain/Uit,593,VB-Lumbaaldrain,NaN,NA,NaN,0,NA,NaN,6,ml,mL,NaN,NaN,NA,NA,numericitems,6407,6407
9363,Transthoracale echocardiografie (TTE),Transthoracic echocardiography (TTE),NaN,NaN,NaN,Transthoracale echocardiografie (TTE),448,OPDR. Radiologie,NaN,81,Opdr. Circulatie,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,210,NA
9364,X-Opdr.Circulatie,X-Opdr.Circulatie,NaN,NaN,NaN,X-Opdr.Circulatie,430,OPDR. Circulatie,NaN,81,Opdr. Circulatie,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,9111,NA
9365,X-Opdr. gastro-Intestinaal,X-Opdr. gastro-Intestinal,NaN,NaN,NaN,X-Opdr. gastro-Intestinaal,433,OPDR. Gastro-Intestinaal,NaN,84,Opdr. Gastro-Intestinaal,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,8354,NA
9366,X-Opdr. Houding & Beweging,X-Opdr. posture & movement,NaN,NaN,NaN,X-Opdr. Houding & Beweging,436,OPDR. Houding & Beweging,NaN,87,Opdr. Houding & Beweging,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,18180,NA
9367,X-Opdr. Huid nader te bepalen,X-Opdr. skin to be determined,NaN,NaN,NaN,X-Opdr. Huid nader te bepalen,449,OPDR. Huid,NaN,101,Opdr. Huid,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,2152,NA
9368,X-opdr. Neurologisch,X-opdr. neurological,NaN,NaN,NaN,X-opdr. Neurologisch,432,OPDR. Neurologisch,NaN,83,Opdr. Neurologisch,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,5708,NA
9369,X-Opdr. Infectie,X-Opdr. Infection,NaN,NaN,NaN,X-Opdr. Infectie,437,OPDR. Infectie,NaN,88,Opdr. Infectie,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,1601,NA
9370,X-Opdr. Psycho-sociaal,X-Opdr. psycho-social,NaN,NaN,NaN,X-Opdr. Psycho-sociaal,435,OPDR. Psycho-sociaal,NaN,86,Opdr. Psycho-sociaal,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,14076,NA
9371,X-OPDR.Radiologie,X-OPDR.radiology,NaN,NaN,NaN,X-OPDR.Radiologie,448,OPDR. Radiologie,NaN,103,Opdr. Radiologie,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,311,NA
9372,X-Sinus,X-Sine,NaN,NaN,NaN,X-Sinus,448,OPDR. Radiologie,NaN,103,Opdr. Radiologie,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,274,NA
9373,Niets per os,Nothing per os,NaN,NaN,NaN,Niets per os,441,PROC. Gastro-Intestinaal,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,946,NA
9374,Nuchter houden,Keeping sober,NaN,NaN,NaN,Nuchter houden,441,PROC. Gastro-Intestinaal,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,440,NA
9375,Haren wassen,Washing hair,NaN,NaN,NaN,Haren wassen,451,OPDR. Verzorging,NaN,104,Opdr. Verzorging,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,162,NA
9376,X-Lijnen/Catheter/Drains,X-Lines/Catheter/Drains,NaN,NaN,NaN,X-Lijnen/Catheter/Drains,446,OPDR. Lijnen/Catheter/Drains,NaN,90,Opdr. Lijnen/Catheter/Drains,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,3630,NA
9377,X-opdracht Respiratie,X assignment Respiration,NaN,NaN,NaN,X-opdracht Respiratie,431,OPDR. Respiratie,NaN,82,Opdr. Respiratie,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,13102,NA
9378,X-Opdracht Urologisch,X-Test Urological,NaN,NaN,NaN,X-Opdracht Urologisch,434,OPDR. Urologisch,NaN,85,Opdr. Urologisch,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,1721,NA
9379,X-Proces Circulatie,X-Proces Circulatie,NaN,NaN,NaN,X-Proces Circulatie,438,PROC. Circulatie,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,195,NA
9380,X-Proces Gastro-Intestinaal,X-Process Gastro-Intestinal,NaN,NaN,NaN,X-Proces Gastro-Intestinaal,441,PROC. Gastro-Intestinaal,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,260,NA
9381,X-Proces Houding & Beweging,X-Process Posture & Movement,NaN,NaN,NaN,X-Proces Houding & Beweging,444,PROC. Houding & Beweging,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,492,NA
9382,X-Proces Huid,X-Proces Huid,NaN,NaN,NaN,X-Proces Huid,450,PROC. Huid,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,214,NA
9383,X-Proces Infectie,X-Proces Infectie,NaN,NaN,NaN,X-Proces Infectie,445,PROC. Infectie,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,26,NA
9384,X-Proces Neurologisch,X-Proces Neurological,NaN,NaN,NaN,X-Proces Neurologisch,440,PROC. Neurologisch,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,265,NA
9385,X-Proces Overig,X-Process Other,NaN,NaN,NaN,X-Proces Overig,447,PROC. Overig,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,436,NA
9386,X-Proces Psycho-sociaal,X-Process Psycho-social,NaN,NaN,NaN,X-Proces Psycho-sociaal,443,PROC. Psycho-sociaal,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,220,NA
9387,X-Proces Respiratie,X-Proces Respiratie,NaN,NaN,NaN,X-Proces Respiratie,439,PROC. Respiratie,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,310,NA
9388,X-Proces Urologisch,X-Proces Urological,NaN,NaN,NaN,X-Proces Urologisch,442,PROC. Urologisch,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,179,NA
9389,Consult Decubitus vpk,Consult Decubitus vpk,NaN,NaN,NaN,Consult Decubitus vpk,449,OPDR. Huid,NaN,101,Opdr. Huid,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,421,NA
9390,Consult Ergotherapie,Consult Ergotherapie,NaN,NaN,NaN,Consult Ergotherapie,436,OPDR. Houding & Beweging,NaN,87,Opdr. Houding & Beweging,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,168,NA
9391,Geestelijk verzorger inschakelen,Engage spiritual director,NaN,NaN,NaN,Geestelijk verzorger inschakelen,435,OPDR. Psycho-sociaal,NaN,86,Opdr. Psycho-sociaal,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,110,NA
9392,Consult Logopedie,Consult Logopedie,NaN,NaN,NaN,Consult Logopedie,432,OPDR. Neurologisch,NaN,83,Opdr. Neurologisch,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,33,NA
9393,Consult Mondhygiënist(e),Consultation Oral Hygienist(s),NaN,NaN,NaN,Consult Mondhygiënist(e),418,OPDR. Overig,NaN,89,Opdr. Overig,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,15,NA
9394,Pijnteam inschakelen,Engage pain team,NaN,NaN,NaN,Pijnteam inschakelen,418,OPDR. Overig,NaN,89,Opdr. Overig,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,19,NA
9395,Voedingsteam inschakelen,Engage nutrition team,NaN,NaN,NaN,Voedingsteam inschakelen,433,OPDR. Gastro-Intestinaal,NaN,84,Opdr. Gastro-Intestinaal,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,59,NA
9396,Consult Psycholoog,Consult Psychologist,NaN,NaN,NaN,Consult Psycholoog,435,OPDR. Psycho-sociaal,NaN,86,Opdr. Psycho-sociaal,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,17,NA
9397,Ziekenhuishygiënist(e) inschakelen,Engage hospital hygienist(s),NaN,NaN,NaN,Ziekenhuishygiënist(e) inschakelen,418,OPDR. Overig,NaN,89,Opdr. Overig,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,1,NA
9398,Tolk (doventolk) inschakelen,Engage interpreter (sign language interpreter),NaN,NaN,NaN,Tolk (doventolk) inschakelen,418,OPDR. Overig,NaN,89,Opdr. Overig,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,4,NA
9399,Wonddrain 1,Wonddrain 1,NaN,NaN,NaN,Wonddrain 1,422,PROC. Lijnen/Catheter/Drains,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,5813,NA
9400,Wonddrain 2,Wonddrain 2,NaN,NaN,NaN,Wonddrain 2,422,PROC. Lijnen/Catheter/Drains,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,2387,NA
9401,Wonddrain 3,Wonddrain 3,NaN,NaN,NaN,Wonddrain 3,422,PROC. Lijnen/Catheter/Drains,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,524,NA
9402,Wonddrain 4,Wound drain 4,NaN,NaN,NaN,Wonddrain 4,422,PROC. Lijnen/Catheter/Drains,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,123,NA
9403,Thoraxdrain 1,Thoraxdrain 1,NaN,NaN,NaN,Thoraxdrain 1,422,PROC. Lijnen/Catheter/Drains,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,9942,NA
9404,Thoraxdrain 2,Thoraxdrain 2,NaN,NaN,NaN,Thoraxdrain 2,422,PROC. Lijnen/Catheter/Drains,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,1323,NA
9405,Thoraxdrain 3,Thoraxdrain 3,NaN,NaN,NaN,Thoraxdrain 3,422,PROC. Lijnen/Catheter/Drains,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,139,NA
9406,Spoeldrain 1,Flush drain 1,NaN,NaN,NaN,Spoeldrain 1,422,PROC. Lijnen/Catheter/Drains,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,125,NA
9407,Ventrikeldrain,Ventricular drain,NaN,NaN,NaN,Ventrikeldrain,422,PROC. Lijnen/Catheter/Drains,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,370,NA
9410,Koelen patiënt (Actief),Cooling patient (Active),NaN,NaN,NaN,Koelen patiënt (Actief),440,PROC. Neurologisch,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,1251,NA
9411,Suprapubis catheter,Suprapubis catheter,NaN,NaN,NaN,Suprapubis catheter,422,PROC. Lijnen/Catheter/Drains,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,346,NA
9412,Urostoma,Urostoma,NaN,NaN,NaN,Urostoma,442,PROC. Urologisch,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,154,NA
9413,Resetten CVVH,Reset CVVH,NaN,NaN,NaN,Resetten CVVH,452,OPDR. CVVH,NaN,105,Opdr. CVVH,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,7795,NA
9414,Roteren bed,Roteren bed,NaN,NaN,NaN,Roteren bed,444,PROC. Houding & Beweging,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,18,NA
9415,Urine-Catheter (CAD),Urine-Catheter (CAD),NaN,NaN,NaN,Urine-Catheter (CAD),422,PROC. Lijnen/Catheter/Drains,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,21339,NA
9417,Sonde,Probe,NaN,NaN,NaN,Sonde,422,PROC. Lijnen/Catheter/Drains,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,24139,NA
9419,Xx-Niet meer gebruiken Maag-hevel,Xx-No longer use Stomach heave,NaN,NaN,NaN,Xx-Niet meer gebruiken Maag-hevel,422,PROC. Lijnen/Catheter/Drains,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,1972,NA
9420,Cardiac Output NaClccc,Cardiac Output NaClccc,NaN,NaN,NaN,Cardiac Output NaClccc,328,OLGV-OUD,NaN,27,Injecties Overig,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,drugitems,7,NA
9422,Perifeer infuus,Peripheral infusion,NaN,NaN,NaN,Perifeer infuus,422,PROC. Lijnen/Catheter/Drains,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,39480,NA
9423,Beademingsafspraken,Respiratory appointments,NaN,NaN,NaN,Beademingsafspraken,431,OPDR. Respiratie,NaN,82,Opdr. Respiratie,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,4631,NA
9426,ADL-zelfst.heid aanleren,Teaching ADL self-sufficiency,NaN,NaN,NaN,ADL-zelfst.heid aanleren,453,PROC. Verzorging,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,5,NA
9427,ADL schema opstellen,Establishing ADL schedule,NaN,NaN,NaN,ADL schema opstellen,451,OPDR. Verzorging,NaN,104,Opdr. Verzorging,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,84,NA
9428,ADL hulpmiddelen aanbieden,Offering ADL tools,NaN,NaN,NaN,ADL hulpmiddelen aanbieden,451,OPDR. Verzorging,NaN,104,Opdr. Verzorging,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,212,NA
9429,Anamnese afnemen,Taking anamnesis,NaN,NaN,NaN,Anamnese afnemen,451,OPDR. Verzorging,NaN,104,Opdr. Verzorging,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,2491,NA
9430,Anti-trendelenburg,Anti-trendelenburg,NaN,NaN,NaN,Anti-trendelenburg,444,PROC. Houding & Beweging,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,7,NA
9431,Arm in draagband,Arm in sling,NaN,NaN,NaN,Arm in draagband,444,PROC. Houding & Beweging,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,7,NA
9432,Bewustzijn controle,Consciousness control,NaN,NaN,NaN,Bewustzijn controle,432,OPDR. Neurologisch,NaN,83,Opdr. Neurologisch,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,266,NA
9433,Blaastraining geven,Giving bladder training,NaN,NaN,NaN,Blaastraining geven,434,OPDR. Urologisch,NaN,85,Opdr. Urologisch,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,82,NA
9434,Buikomvang meten,Abdominal circumference measurement,NaN,NaN,NaN,Buikomvang meten,418,OPDR. Overig,NaN,89,Opdr. Overig,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,119,NA
9435,CPAP masker geven,Giving a CPAP mask,NaN,NaN,NaN,CPAP masker geven,431,OPDR. Respiratie,NaN,82,Opdr. Respiratie,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,314,NA
9436,CPP streefwaarden,CPP target values,NaN,NaN,NaN,CPP streefwaarden,440,PROC. Neurologisch,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,166,NA
9437,ICP- acceptatiewaarden,CPI acceptance values,NaN,NaN,NaN,ICP-acceptatiewaarden,440,PROC. Neurologisch,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,62,NA
9438,Dec. VPK inschakelen,Dec. turn on VPK,NaN,NaN,NaN,Dec. VPK inschakelen,449,OPDR. Huid,NaN,101,Opdr. Huid,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,42,NA
9439,Decubitusstadium bepalen,Decubitus stage determination,NaN,NaN,NaN,Decubitusstadium bepalen,449,OPDR. Huid,NaN,101,Opdr. Huid,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,28,NA
9440,Eten bestellen keuken,Food ordering kitchen,NaN,NaN,NaN,Eten bestellen keuken,418,OPDR. Overig,NaN,89,Opdr. Overig,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,56,NA
9441,Draaien als boomstam,Turning as a tree trunk,NaN,NaN,NaN,Draaien als boomstam,444,PROC. Houding & Beweging,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,392,NA
9442,Eénmalig catheteriseren,One-time catheterization,NaN,NaN,NaN,Eénmalig catheteriseren,434,OPDR. Urologisch,NaN,85,Opdr. Urologisch,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,269,NA
9443,Blaas spoelen,Bladder flushing,NaN,NaN,NaN,Blaas spoelen,434,OPDR. Urologisch,NaN,85,Opdr. Urologisch,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,1994,NA
9444,X-Thorax 6.00u,X-Thorax 6.00u,NaN,NaN,NaN,X-Thorax 6.00u,448,OPDR. Radiologie,NaN,103,Opdr. Radiologie,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,28586,NA
9445,ECG 6.00u,ECG 6:00am,NaN,NaN,NaN,ECG 6.00u,430,OPDR. Circulatie,NaN,81,Opdr. Circulatie,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,35104,NA
9446,Lab. dgs Standaard 6.00u,Lab. dgs Standard 6.00am,NaN,NaN,NaN,Lab. dgs Standaard 6.00u,420,OPDR. Lab. afnemen,NaN,73,Opdr. Laboratorium afname,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,64720,NA
9447,Bloedgas afn. 6.00u,Blood gas afn. 6.00u,NaN,NaN,NaN,Bloedgas afn. 6.00u,420,OPDR. Lab. afnemen,NaN,73,Opdr. Laboratorium afname,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,4509,NA
9448,Kunstneuzen,Kunstneuzen,NaN,NaN,NaN,Kunstneuzen,439,PROC. Respiratie,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,1040,NA
9449,Opdr.\Proc. Stoppen,Recording \ Stopping the process,NaN,NaN,NaN,Opdr.\Proc. Stoppen,459,Stoppen/Wijzigen,NaN,111,1. Stoppen/Wijzigen,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,38539,NA
9450,Opdr.\Proc Hervatten,Opdr \Proc Resume,NaN,NaN,NaN,Opdr.\Proc Hervatten,459,Stoppen/Wijzigen,NaN,111,1. Stoppen/Wijzigen,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,1483,NA
9451,Opdr.\Proc. Tijdelijk stoppen,Opdr. Temporarily stop,NaN,NaN,NaN,Opdr.\Proc. Tijdelijk stoppen,459,Stoppen/Wijzigen,NaN,111,1. Stoppen/Wijzigen,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,2730,NA
9452,Opdr.\Proc. wijzigen,Opdr. change,NaN,NaN,NaN,Opdr.\Proc. wijzigen,459,Stoppen/Wijzigen,NaN,111,1. Stoppen/Wijzigen,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,66407,NA
9453,Trendelenburg,Trendelenburg,NaN,NaN,NaN,Trendelenburg,444,PROC. Houding & Beweging,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,3,NA
9454,Hoofdsteun max. 30 graden,Headrest max. 30 degrees,NaN,NaN,NaN,Hoofdsteun max. 30 graden,444,PROC. Houding & Beweging,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,45,NA
9455,Benen niet belasten,Do not strain legs,NaN,NaN,NaN,Benen niet belasten,444,PROC. Houding & Beweging,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,7,NA
9456,Niet balloneren,Do not balloon,NaN,NaN,NaN,Niet balloneren,439,PROC. Respiratie,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,10,NA
9457,Niet uitzuigen,Do not suck out,NaN,NaN,NaN,Niet uitzuigen,439,PROC. Respiratie,NaN,NA,NaN,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,processitems,10,NA
9458,Caspofungine,Caspofungine,NaN,NaN,NaN,Caspofungine,268,Medicatie,NaN,27,Injecties Overig,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,drugitems,187,NA
9461,Darbepoëtine (Aranesp),Darbepoëtine (Aranesp),NaN,NaN,NaN,Darbepoëtine (Aranesp),268,Medicatie,NaN,25,Injecties Haematologisch,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,drugitems,30,NA
9462,Herstart protocol lijnen verschonen,Restart protocol lines changing,NaN,NaN,NaN,Herstart protocol lijnen verschonen,446,OPDR. Lijnen/Catheter/Drains,NaN,90,Opdr. Lijnen/Catheter/Drains,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,24,NA
9466,.CVVH starten,.CVVH start,NaN,NaN,NaN,.CVVH starten,452,OPDR. CVVH,NaN,105,Opdr. CVVH,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,873,NA
9467,CVVH anti-coagulantia starten,CVVH anti-coagulantia starten,NaN,NaN,NaN,CVVH anti-coagulantia starten,452,OPDR. CVVH,NaN,105,Opdr. CVVH,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,520,NA
9473,CVVH stoppen,Stop CVVH,NaN,NaN,NaN,CVVH stoppen,452,OPDR. CVVH,NaN,105,Opdr. CVVH,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,56,NA
9475,Vit B/C (vlgs CVVH-protocol),Vit B/C (vlgs CVVH protocol),NaN,NaN,NaN,Vit B/C (vlgs CVVH-protocol),268,Medicatie,NaN,67,Injecties Hormonen/Vitaminen/Mineralen,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,drugitems,7755,NA
9476,Intuberen,Intuberate,NaN,NaN,NaN,Intuberen,431,OPDR. Respiratie,NaN,82,Opdr. Respiratie,NA,NA,NaN,NA,NaN,NaN,NaN,NaN,NA,NA,procedureorderitems,162,NA
